"PointID"	"x"	"y"	"z"	"Displacement_x"	"Displacement_y"	"Displacement_z"	"FORCE_x"	"FORCE_y"	"FORCE_z"	"Velocity_x"	"Velocity_y"	"Velocity_z"	"Acceleration_x"	"Acceleration_y"	"Acceleration_z"
30	3.048006800260836e-01	6.096000275243785e+00	-1.375598392333193e-05	6.800260835137086e-07	2.752437884955431e-07	-1.375598392333193e-05	8.584257581040596e-01	-8.692523003702559e+02	1.176041754191560e+03	4.646758787227540e-310	4.646758787909746e-310	4.646767475013033e-310	4.646767475695238e-310	4.646767476377444e-310	4.646767477059650e-310	
31	9.144006697211420e-01	6.096000060573100e+00	-2.339612219092290e-05	6.697211418893341e-07	6.057309704719438e-08	-2.339612219092289e-05	-1.463889330822022e+01	-1.103316805783456e+03	1.833185008035392e+03	-3.736550627446704e-09	-3.109929439099748e-06	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-1.717307405366553e-01	
32	1.524000658352584e+00	6.095999957669029e+00	-3.285180757928806e-05	6.583525838165028e-07	-4.233097314657145e-08	-3.285180757928807e-05	-2.802763636214480e+01	-9.420757686555859e+02	1.929955765739770e+03	-4.613993978783244e-09	-3.298117700512537e-06	4.077032462469993e-05	9.012243438407983e-07	-8.405383707798343e-04	-1.648346317178671e-01	
EXT_ITER= 1
AOA= 0.000000000000000e+00
SIDESLIP_ANGLE= 0.000000000000000e+00
INITIAL_BCTHRUST= 4.000000000000000e+03
DCD_DCL_VALUE= 0.000000000000000e+00
DCMX_DCL_VALUE= 0.000000000000000e+00
DCMY_DCL_VALUE= 0.000000000000000e+00
DCMZ_DCL_VALUE= 0.000000000000000e+00
